group,entity_text,label,scope_tag,context,start_char,end_char,table_or_prose
RESOLVED,1.5 T,FLUX_DENSITY,NGO,The addition of manganese resulted in a remarkable reduction of up to 8% in power loss at 1.5 T in non-oriented 2.4 wt% silicon iron.,59283,59288,P
RESOLVED,2.0% Si,SI_CONTENT,NGO,The inﬂuence of hot rolling ﬁnishing temperature on the structure and mag- netic properties of 2.0% Si non-oriented silicon steel.,169135,169142,P
RESOLVED,3 W/kg,CORE_LOSS,NGO,"In the case of non-oriented electrical steels, the total losses, at 1.5 T and 60 Hz, vary from 10 W/kg to 3 W/kg in the annealed condition, as indicated in steel manufacturers’ catalogs [29].",19562,19568,P
RESOLVED,1.5 T,FLUX_DENSITY,COMPETITOR,"A typical specification is, for example, 89-27-N5, which indicates a 0.27 mm thick (27) grain-oriented steel (N) whose guaranteed loss at 50 Hz (5), 1.5 T is 0.89 W/kg (89).",33676,33681,P
RESOLVED,1.5 T,FLUX_DENSITY,NGO,"In the case of non-oriented electrical steels, the total losses, at 1.5 T and 60 Hz, vary from 10 W/kg to 3 W/kg in the annealed condition, as indicated in steel manufacturers’ catalogs [29].",19524,19529,P
RESOLVED,1.7T,FLUX_DENSITY,COMPETITOR,"At 1.7T SOHz, its loss was reported to be 0.56 W/kg, as good as the best laboratory- processed grain-oriented material.",54330,54334,P
RESOLVED,2% Si,SI_CONTENT,NGO,"Inﬂuence of antim- ony on the texture and properties of 2% Si, 0.3% Al steel for non-oriented sheet.",164839,164844,P
RESOLVED,50A700,GRADE,AMBIGUOUS,"W10/50 W10/400 W1/10k 6.5% Si steel 0.10 1.80 0.51 5.7 8.3 23,000 0.1 Grain-oriented electrical steel sheet Si 3 wt% 0.10 2.00 0.72 7.2 18.0 24,000 0.8 0.23 2.00 0.29 7.8 30.0 92,000 Non-oriented electrical steel sheet Si 3 wt% 0.20 2.00 0.74 10.4 24.0 15,000 7.8 0.35 2.00 0.70 14.4 33.0 18,000 Fe-based amorphous 0.025 1.50 0.11 1.5 3.0 300,000 27 EPS type: column Motor type: brush DC 50A1000 50A700 50JNE300 0.0 0.2 0.4 0.6 1.0 0.8 1.2 Friction torque (50A1000=1)",14016,14022,T
RESOLVED,3.15% Si,SI_CONTENT,NGO,"Lee, K.M.; Park, S.Y.; Huh, M.Y.; Kim, J.S.; Engler, O. Effect of texture and grain size on magnetic ﬂux density and core loss in non-oriented electrical steel containing 3.15% Si.",54208,54216,A
RESOLVED,W2/5k,CORE_LOSS,COMPETITOR,5 10 15 20 25 W10/400 6.5%Si steel Gradient Si steel Iron loss (W/kg) Thickness:0.10mm W0.5/20k W1/10k W2/5k W5/2k Fig.,18027,18032,A
RESOLVED,2.0 T,FLUX_DENSITY,COMPETITOR,"Future research and development With continued research and development in the past decades, the magnetic quality of GOES has been signiﬁ- cantly improved.27,124 However, since the 1970’s, the improvement of magnetic ﬂux density in GOES has been relatively small,125–129 as the magnetic induction (B8 = 2.0 T) is already very close to the saturation ﬂux density of 2.03 T (single {011}<100> crystal).130 While there is still some room to further reduce the core loss by reducing the sheet thickness and optimising the microstructure, the potential to improve the magnetic ﬂux density (B8) by texture optimisation is very limited as the deviation angle from the ideal Goss in high permeability GOES has already been reduced to about 3°, which is very close to the theoretical single crystal orientation.",65348,65353,P
RESOLVED,2.4 wt% silicon,SI_CONTENT,NGO,The addition of manganese resulted in a remarkable reduction of up to 8% in power loss at 1.5 T in non-oriented 2.4 wt% silicon iron.,59305,59320,P
RESOLVED,2.03 T,FLUX_DENSITY,COMPETITOR,"Future research and development With continued research and development in the past decades, the magnetic quality of GOES has been signiﬁ- cantly improved.27,124 However, since the 1970’s, the improvement of magnetic ﬂux density in GOES has been relatively small,125–129 as the magnetic induction (B8 = 2.0 T) is already very close to the saturation ﬂux density of 2.03 T (single {011}<100> crystal).130 While there is still some room to further reduce the core loss by reducing the sheet thickness and optimising the microstructure, the potential to improve the magnetic ﬂux density (B8) by texture optimisation is very limited as the deviation angle from the ideal Goss in high permeability GOES has already been reduced to about 3°, which is very close to the theoretical single crystal orientation.",65410,65416,P
RESOLVED,3% Si,SI_CONTENT,NGO,Seil L and Burno C. Cold rolling reduction dependence of the recrystallization texture of 3% Si non-oriented electrical steel.,173238,173243,P
RESOLVED,1.5 T,FLUX_DENSITY,COMPETITOR,"Although the anomalous eddy-current loss was around four times higher than the classical loss in early materials, eddy-current losses of less than 10 mW/kg, at 1.5 T, 50 Hz, were easily obtainable, com- pared to over 200mW/kg in grain-oriented steel",46860,46865,P
RESOLVED,2.4 wt% Si,SI_CONTENT,NGO,Effect of antimony on magnetic properties in non-oriented 2.4 wt% Si electrical sheets.,165185,165195,P
RESOLVED,45 MPa,MPA_VALUE,COMPETITOR,"By chemically polishing GOES to a surface roughness of 0.05 µm and applying a tensile stress of 45 MPa, the authors observed an increase in the number of mobile domain walls, thereby reducing eddy current loss.",71948,71954,P
RESOLVED,1.3 T,FLUX_DENSITY,COMPETITOR,"The noise level of amorphous metals is similar to conventional steels up to 1.3 T, growing very substan- tially above that value, as shown in Fig.",38097,38102,P
RESOLVED,W10/400,CORE_LOSS,COMPETITOR,5 10 15 20 25 W10/400 6.5%Si steel Gradient Si steel Iron loss (W/kg) Thickness:0.10mm W0.5/20k W1/10k W2/5k W5/2k Fig.,17938,17945,A
